Date,JPY=X
2025-02-03,155.36300659179688
2025-02-04,155.27699279785156
2025-02-05,154.13299560546875
2025-02-06,152.6060028076172
2025-02-07,151.1929931640625
2025-02-10,151.8459930419922
2025-02-11,151.75900268554688
2025-02-12,152.73899841308594
2025-02-13,154.2550048828125
2025-02-14,152.98899841308594
2025-02-17,152.0229949951172
2025-02-18,151.44400024414062
2025-02-19,151.93099975585938
2025-02-20,151.22000122070312
2025-02-21,149.4080047607422
2025-02-24,149.38699340820312
2025-02-25,149.86399841308594
2025-02-26,149.0780029296875
2025-02-27,148.83799743652344
2025-02-28,150.01199340820312
2025-03-03,150.77099609375
2025-03-04,149.30499267578125
2025-03-05,149.7989959716797
2025-03-06,148.8979949951172
2025-03-07,148.10800170898438
2025-03-10,147.60800170898438
2025-03-11,147.06900024414062
2025-03-12,148.04200744628906
2025-03-13,148.2790069580078
2025-03-14,147.94900512695312
2025-03-17,148.59800720214844
2025-03-18,149.37899780273438
2025-03-19,149.45199584960938
2025-03-20,148.49000549316406
2025-03-21,148.5959930419922
2025-03-24,149.677001953125
2025-03-25,150.7740020751953
2025-03-26,149.9499969482422
2025-03-27,150.47300720214844
2025-03-28,150.8470001220703
2025-03-31,149.61700439453125
2025-04-01,149.91299438476562
2025-04-02,149.7830047607422
2025-04-03,147.8719940185547
2025-04-04,146.2310028076172
2025-04-07,145.43299865722656
2025-04-08,147.78900146484375
2025-04-09,145.84500122070312
2025-04-10,147.3990020751953
2025-04-11,143.7469940185547
2025-04-14,143.6959991455078
2025-04-15,143.2209930419922
2025-04-16,143.18099975585938
2025-04-17,141.92799377441406
2025-04-22,140.87600708007812
2025-04-23,142.68800354003906
2025-04-24,143.22300720214844
2025-04-25,142.87899780273438
2025-04-28,143.84100341796875
2025-04-29,142.17799377441406
2025-04-30,142.2989959716797
2025-05-01,143.00900268554688
2025-05-02,145.447998046875
2025-05-05,144.62399291992188
2025-05-06,143.6540069580078
2025-05-07,143.03500366210938
2025-05-08,143.84800720214844
2025-05-09,146.01499938964844
2025-05-12,145.81199645996094
2025-05-13,148.30999755859375
2025-05-14,147.5279998779297
2025-05-15,146.64999389648438
2025-05-16,145.61300659179688
2025-05-19,145.29800415039062
2025-05-20,144.97500610351562
2025-05-21,144.3280029296875
2025-05-22,143.7550048828125
2025-05-23,143.85800170898438
2025-05-26,142.86700439453125
2025-05-27,142.65499877929688
