Date,^N225
2025-02-03,38520.08984375
2025-02-04,38798.37109375
2025-02-05,38831.48046875
2025-02-06,39066.53125
2025-02-07,38787.01953125
2025-02-10,38801.171875
2025-02-12,38963.69921875
2025-02-13,39461.46875
2025-02-14,39149.4296875
2025-02-17,39174.25
2025-02-18,39270.3984375
2025-02-19,39164.609375
2025-02-20,38678.0390625
2025-02-21,38776.94140625
2025-02-25,38237.7890625
2025-02-26,38142.37109375
2025-02-27,38256.171875
2025-02-28,37155.5
2025-03-03,37785.46875
2025-03-04,37331.1796875
2025-03-05,37418.23828125
2025-03-06,37704.9296875
2025-03-07,36887.171875
2025-03-10,37028.26953125
2025-03-11,36793.109375
2025-03-12,36819.08984375
2025-03-13,36790.03125
2025-03-14,37053.1015625
2025-03-17,37396.51953125
2025-03-18,37845.421875
2025-03-19,37751.87890625
2025-03-21,37677.05859375
2025-03-24,37608.48828125
2025-03-25,37780.5390625
2025-03-26,38027.2890625
2025-03-27,37799.96875
2025-03-28,37120.328125
2025-03-31,35617.55859375
2025-04-01,35624.48046875
2025-04-02,35725.87109375
2025-04-03,34735.9296875
2025-04-04,33780.578125
2025-04-07,31136.580078125
2025-04-08,33012.578125
2025-04-09,31714.029296875
2025-04-10,34609.0
2025-04-11,33585.578125
2025-04-14,33982.359375
2025-04-15,34267.5390625
2025-04-16,33920.3984375
2025-04-17,34377.6015625
2025-04-18,34730.28125
2025-04-21,34279.921875
2025-04-22,34220.6015625
2025-04-23,34868.62890625
2025-04-24,35039.1484375
2025-04-25,35705.73828125
2025-04-28,35839.98828125
2025-04-30,36045.37890625
2025-05-01,36452.30078125
2025-05-02,36830.69140625
2025-05-07,36779.66015625
2025-05-08,36928.62890625
2025-05-09,37503.328125
2025-05-12,37644.26171875
2025-05-13,38183.26171875
2025-05-14,38128.12890625
2025-05-15,37755.51171875
2025-05-16,37753.71875
2025-05-19,37498.62890625
2025-05-20,37529.48828125
2025-05-21,37298.98046875
2025-05-22,36985.87109375
2025-05-23,37160.46875
2025-05-26,37531.53125
2025-05-27,37724.109375
2025-05-28,37722.3984375
2025-05-29,38432.98046875
2025-05-30,37965.1015625
2025-06-02,37470.671875
2025-06-03,37446.80859375
2025-06-04,37747.44921875
2025-06-05,37554.48828125
2025-06-06,37741.609375
2025-06-09,38088.5703125
2025-06-10,38211.51171875
2025-06-11,38421.19140625
2025-06-12,38173.08984375
2025-06-13,37834.25
2025-06-16,38311.328125
2025-06-17,38536.73828125
2025-06-18,38885.1484375
2025-06-19,38488.33984375
2025-06-20,38403.23046875
2025-06-23,38354.08984375
2025-06-24,38790.55859375
2025-06-25,38942.0703125
2025-06-26,39584.578125
2025-06-27,40150.7890625
2025-06-30,40487.390625
2025-07-01,39986.328125
2025-07-02,39762.48046875
2025-07-03,39785.8984375
2025-07-04,39810.87890625
2025-07-07,39587.6796875
2025-07-08,39688.80859375
2025-07-09,39821.28125
2025-07-10,39646.359375
2025-07-11,39569.6796875
2025-07-14,39459.62109375
2025-07-15,39678.01953125
2025-07-16,39663.3984375
2025-07-17,39901.19140625
2025-07-18,39819.109375
2025-07-22,39774.921875
2025-07-23,41171.3203125
2025-07-24,41826.33984375
2025-07-25,41456.23046875
2025-07-28,40998.26953125
2025-07-29,40674.55078125
2025-07-30,40654.69921875
2025-07-31,41069.8203125
2025-08-01,40799.6015625
2025-08-04,40290.69921875
2025-08-05,40549.5390625
2025-08-06,40794.859375
2025-08-07,41059.1484375
2025-08-08,41820.48046875
2025-08-12,42718.171875
2025-08-13,43274.671875
2025-08-14,42649.26171875
2025-08-15,43378.30859375
2025-08-18,43714.30859375
2025-08-19,43546.2890625
2025-08-20,42888.55078125
2025-08-21,42610.171875
2025-08-22,42633.2890625
2025-08-25,42807.8203125
2025-08-26,42394.3984375
2025-08-27,42520.26953125
2025-08-28,42828.7890625
2025-08-29,42718.46875
2025-09-01,42188.7890625
2025-09-02,42310.48828125
2025-09-03,41938.890625
2025-09-04,42580.26953125
2025-09-05,43018.75
2025-09-08,43643.80859375
2025-09-09,43459.2890625
2025-09-10,43837.671875
2025-09-11,44372.5
2025-09-12,44768.12109375
2025-09-16,44902.26953125
2025-09-17,44790.37890625
2025-09-18,45303.4296875
2025-09-19,45045.80859375
2025-09-22,45493.66015625
2025-09-24,45630.30859375
2025-09-25,45754.9296875
2025-09-26,45354.98828125
2025-09-29,45043.75
2025-09-30,44932.62890625
2025-10-01,44550.8515625
2025-10-02,44936.73046875
2025-10-03,45769.5
2025-10-06,47944.76171875
2025-10-07,47950.87890625
