,PAYEMS
2025-02-01,158310
2025-03-01,158377
2025-04-01,158485
2025-05-01,158498
2025-06-01,158478
2025-07-01,158542
2025-08-01,158472
2025-09-01,158548
2025-10-01,158408
2025-11-01,158449
2025-12-01,158432
