,0
2022-08-23,-38807.0
2022-08-30,-41531.0
2022-09-06,-58189.0
2022-09-13,-80692.0
2022-09-20,-81280.0
2022-09-27,-82556.0
2022-10-04,-81623.0
2022-10-11,-77393.0
2022-10-18,-94336.0
2022-10-25,-102618.0
2022-11-01,-77620.0
2022-11-08,-75258.0
2022-11-15,-65842.0
2022-11-22,-64850.0
2022-11-29,-67394.0
2022-12-06,-65996.0
2022-12-13,-53188.0
2022-12-20,-40881.0
2022-12-27,-37730.0
2023-01-03,-46864.0
2023-01-10,-35377.0
2023-01-17,-22961.0
2023-01-24,-21635.0
2023-01-31,-20060.0
2023-02-07,-29089.0
2023-02-14,-27843.0
2023-02-21,-34029.0
2023-02-28,-58678.0
2023-03-07,-75303.0
2023-03-14,-74794.0
2023-03-21,-66345.0
2023-03-28,-53975.0
2023-04-04,-57036.0
2023-04-11,-57207.0
2023-04-18,-56869.0
2023-04-25,-68744.0
2023-05-02,-68324.0
2023-05-09,-61015.0
2023-05-16,-64791.0
2023-05-23,-80660.0
2023-05-30,-96193.0
2023-06-06,-104817.0
2023-06-13,-103976.0
2023-06-20,-107656.0
2023-06-27,-112870.0
2023-07-03,-117920.0
2023-07-11,-117182.0
2023-07-18,-90239.0
2023-07-25,-77752.0
2023-08-01,-79216.0
2023-08-08,-83180.0
2023-08-15,-80961.0
2023-08-22,-95323.0
2023-08-29,-98473.0
2023-09-05,-97136.0
2023-09-12,-98713.0
2023-09-19,-101619.0
2023-09-26,-109512.0
2023-10-03,-113988.0
2023-10-10,-99476.0
2023-10-17,-102658.0
2023-10-24,-99629.0
2023-10-31,-103848.0
2023-11-07,-104040.0
2023-11-14,-130249.0
2023-11-21,-105454.0
2023-11-28,-109237.0
2023-12-05,-104956.0
2023-12-12,-81131.0
2023-12-19,-64902.0
2023-12-26,-55568.0
2024-01-02,-57195.0
2024-01-09,-55949.0
2024-01-16,-56560.0
2024-01-23,-70645.0
2024-01-30,-80455.0
2024-02-06,-84230.0
2024-02-13,-111536.0
2024-02-20,-120778.0
2024-02-27,-132705.0
2024-03-05,-118843.0
2024-03-12,-102322.0
2024-03-19,-116012.0
2024-03-26,-129106.0
2024-04-02,-143230.0
2024-04-09,-162151.0
2024-04-16,-165619.0
2024-04-23,-179919.0
2024-04-30,-168388.0
2024-05-07,-134922.0
2024-05-14,-126182.0
2024-05-21,-144367.0
2024-05-28,-156039.0
2024-06-04,-132101.0
2024-06-11,-138579.0
2024-06-18,-147753.0
2024-06-25,-173900.0
2024-07-02,-184223.0
2024-07-09,-182033.0
2024-07-16,-151072.0
2024-07-23,-107108.0
2024-07-30,-73460.0
2024-08-06,-11354.0
2024-08-13,23104.0
2024-08-20,23585.0
2024-08-27,25868.0
2024-09-03,41116.0
2024-09-10,55770.0
2024-09-17,56840.0
2024-09-24,66011.0
