Date,OWL
2025-02-03,25.43000030517578
2025-02-04,24.639999389648438
2025-02-05,24.950000762939453
2025-02-06,24.770000457763672
2025-02-07,23.559999465942383
2025-02-10,23.75
2025-02-11,23.559999465942383
2025-02-12,23.299999237060547
2025-02-13,23.520000457763672
2025-02-14,23.940000534057617
2025-02-18,24.139999389648438
2025-02-19,23.989999771118164
2025-02-20,23.100000381469727
2025-02-21,22.1299991607666
2025-02-24,21.770000457763672
2025-02-25,21.260000228881836
2025-02-26,21.760000228881836
2025-02-27,21.219999313354492
2025-02-28,21.530000686645508
2025-03-03,20.829999923706055
2025-03-04,19.780000686645508
2025-03-05,20.3700008392334
2025-03-06,19.360000610351562
2025-03-07,19.420000076293945
2025-03-10,18.559999465942383
2025-03-11,18.860000610351562
2025-03-12,18.969999313354492
2025-03-13,18.489999771118164
2025-03-14,19.209999084472656
2025-03-17,19.8799991607666
2025-03-18,19.829999923706055
2025-03-19,21.010000228881836
2025-03-20,20.639999389648438
2025-03-21,20.649999618530273
2025-03-24,21.559999465942383
2025-03-25,21.649999618530273
2025-03-26,21.049999237060547
2025-03-27,20.399999618530273
2025-03-28,20.149999618530273
2025-03-31,20.040000915527344
2025-04-01,20.420000076293945
2025-04-02,21.15999984741211
2025-04-03,17.90999984741211
2025-04-04,15.899999618530273
2025-04-07,16.40999984741211
2025-04-08,15.930000305175781
2025-04-09,18.200000762939453
2025-04-10,17.190000534057617
2025-04-11,17.010000228881836
2025-04-14,17.209999084472656
2025-04-15,17.579999923706055
2025-04-16,17.100000381469727
2025-04-17,17.40999984741211
2025-04-21,16.5
2025-04-22,16.959999084472656
2025-04-23,17.670000076293945
2025-04-24,18.469999313354492
2025-04-25,18.5
2025-04-28,18.75
2025-04-29,18.600000381469727
2025-04-30,18.530000686645508
2025-05-01,17.90999984741211
2025-05-02,18.399999618530273
2025-05-05,18.459999084472656
2025-05-06,17.850000381469727
2025-05-07,18.09000015258789
2025-05-08,18.540000915527344
2025-05-09,18.479999542236328
2025-05-12,19.639999389648438
2025-05-13,19.969999313354492
2025-05-14,19.979999542236328
2025-05-15,19.31999969482422
2025-05-16,19.489999771118164
2025-05-19,19.40999984741211
2025-05-20,19.049999237060547
2025-05-21,18.1299991607666
2025-05-22,18.229999542236328
2025-05-23,18.270000457763672
2025-05-27,18.719999313354492
2025-05-28,18.780000686645508
2025-05-29,18.75
2025-05-30,18.68000030517578
2025-06-02,18.549999237060547
2025-06-03,18.729999542236328
2025-06-04,19.030000686645508
2025-06-05,19.020000457763672
2025-06-06,19.260000228881836
2025-06-09,19.190000534057617
2025-06-10,19.059999465942383
2025-06-11,19.170000076293945
2025-06-12,19.219999313354492
2025-06-13,18.700000762939453
2025-06-16,18.8799991607666
2025-06-17,18.579999923706055
2025-06-18,18.670000076293945
2025-06-20,18.709999084472656
2025-06-23,18.56999969482422
2025-06-24,19.110000610351562
2025-06-25,19.030000686645508
2025-06-26,19.190000534057617
2025-06-27,19.450000762939453
2025-06-30,19.209999084472656
2025-07-01,19.219999313354492
2025-07-02,19.399999618530273
2025-07-03,19.56999969482422
2025-07-07,19.309999465942383
2025-07-08,19.360000610351562
2025-07-09,19.440000534057617
2025-07-10,19.600000381469727
2025-07-11,18.90999984741211
2025-07-14,19.229999542236328
2025-07-15,18.809999465942383
2025-07-16,20.18000030517578
2025-07-17,20.799999237060547
2025-07-18,20.610000610351562
2025-07-21,20.020000457763672
2025-07-22,19.950000762939453
2025-07-23,20.420000076293945
2025-07-24,20.309999465942383
2025-07-25,20.020000457763672
2025-07-28,19.809999465942383
2025-07-29,19.850000381469727
2025-07-30,19.510000228881836
2025-07-31,19.350000381469727
2025-08-01,18.84000015258789
2025-08-04,19.350000381469727
2025-08-05,19.350000381469727
2025-08-06,19.540000915527344
2025-08-07,18.940000534057617
2025-08-08,19.75
2025-08-11,19.75
2025-08-12,20.31999969482422
