,BAMLH0A0HYM2
2024-01-02,3.54
2024-01-03,3.71
2024-01-04,3.69
2024-01-05,3.68
2024-01-08,3.63
2024-01-09,3.59
2024-01-10,3.5
2024-01-11,3.55
2024-01-12,3.56
2024-01-15,3.54
2024-01-16,3.58
2024-01-17,3.62
2024-01-18,3.58
2024-01-19,3.54
2024-01-22,3.49
2024-01-23,3.51
2024-01-24,3.44
2024-01-25,3.45
2024-01-26,3.39
2024-01-29,3.41
2024-01-30,3.42
2024-01-31,3.59
2024-02-01,3.56
2024-02-02,3.47
2024-02-05,3.5
2024-02-06,3.52
2024-02-07,3.43
2024-02-08,3.38
2024-02-09,3.33
2024-02-12,3.35
2024-02-13,3.36
2024-02-14,3.38
2024-02-15,3.35
2024-02-16,3.34
2024-02-19,3.34
2024-02-20,3.37
2024-02-21,3.34
2024-02-22,3.22
2024-02-23,3.23
2024-02-26,3.23
2024-02-27,3.26
2024-02-28,3.31
2024-02-29,3.29
2024-03-01,3.32
2024-03-04,3.26
2024-03-05,3.31
2024-03-06,3.27
2024-03-07,3.27
2024-03-08,3.26
2024-03-11,3.26
2024-03-12,3.2
2024-03-13,3.15
2024-03-14,3.15
2024-03-15,3.16
2024-03-18,3.13
2024-03-19,3.1
2024-03-20,3.14
2024-03-21,3.05
2024-03-22,3.08
2024-03-25,3.11
2024-03-26,3.15
2024-03-27,3.15
2024-03-28,3.12
2024-03-31,3.15
2024-04-01,3.12
2024-04-02,3.23
2024-04-03,3.23
2024-04-04,3.24
2024-04-05,3.18
2024-04-08,3.15
2024-04-09,3.14
2024-04-10,3.1
2024-04-11,3.16
2024-04-12,3.25
2024-04-15,3.28
2024-04-16,3.36
2024-04-17,3.42
2024-04-18,3.39
2024-04-19,3.37
2024-04-22,3.29
2024-04-23,3.2
2024-04-24,3.19
2024-04-25,3.24
2024-04-26,3.16
2024-04-29,3.12
2024-04-30,3.18
2024-05-01,3.21
2024-05-02,3.16
2024-05-03,3.08
2024-05-06,3.03
2024-05-07,3.06
2024-05-08,3.1
2024-05-09,3.14
2024-05-10,3.12
2024-05-13,3.14
2024-05-14,3.14
2024-05-15,3.13
2024-05-16,3.08
2024-05-17,3.09
2024-05-20,3.07
2024-05-21,3.07
2024-05-22,3.11
2024-05-23,3.1
2024-05-24,3.11
2024-05-27,3.12
2024-05-28,3.09
2024-05-29,3.15
2024-05-30,3.19
2024-05-31,3.2
2024-06-03,3.17
2024-06-04,3.22
2024-06-05,3.2
2024-06-06,3.2
2024-06-07,3.15
2024-06-10,3.15
2024-06-11,3.19
2024-06-12,3.09
2024-06-13,3.2
2024-06-14,3.29
2024-06-17,3.26
2024-06-18,3.24
2024-06-19,3.24
2024-06-20,3.23
2024-06-21,3.21
2024-06-24,3.19
2024-06-25,3.19
2024-06-26,3.18
2024-06-27,3.21
2024-06-28,3.18
2024-06-30,3.21
2024-07-01,3.21
2024-07-02,3.23
2024-07-03,3.25
2024-07-04,3.25
2024-07-05,3.27
2024-07-08,3.2
2024-07-09,3.21
2024-07-10,3.17
2024-07-11,3.18
2024-07-12,3.19
2024-07-15,3.13
2024-07-16,3.08
2024-07-17,3.09
2024-07-18,3.09
2024-07-19,3.09
2024-07-22,3.05
2024-07-23,3.02
2024-07-24,3.1
2024-07-25,3.08
2024-07-26,3.1
2024-07-29,3.13
2024-07-30,3.2
2024-07-31,3.25
2024-08-01,3.35
2024-08-02,3.72
2024-08-05,3.93
2024-08-06,3.67
2024-08-07,3.57
2024-08-08,3.48
2024-08-09,3.49
2024-08-12,3.52
2024-08-13,3.54
2024-08-14,3.46
2024-08-15,3.31
2024-08-16,3.29
2024-08-19,3.21
2024-08-20,3.25
2024-08-21,3.27
2024-08-22,3.21
2024-08-23,3.19
2024-08-26,3.15
2024-08-27,3.17
2024-08-28,3.19
2024-08-29,3.15
2024-08-30,3.13
2024-08-31,3.17
2024-09-02,3.17
2024-09-03,3.31
2024-09-04,3.35
2024-09-05,3.29
2024-09-06,3.39
2024-09-09,3.36
2024-09-10,3.46
2024-09-11,3.44
2024-09-12,3.39
2024-09-13,3.37
2024-09-16,3.32
2024-09-17,3.25
2024-09-18,3.21
2024-09-19,3.1
2024-09-20,3.15
2024-09-23,3.15
2024-09-24,3.21
2024-09-25,3.19
2024-09-26,3.14
2024-09-27,3.14
2024-09-30,3.03
