,SAHMREALTIME
2024-01-01,0.2
2024-02-01,0.27
2024-03-01,0.3
2024-04-01,0.37
2024-05-01,0.37
2024-06-01,0.43
2024-07-01,0.53
2024-08-01,0.57
2024-09-01,0.5
