Date,ARES
2024-01-02,115.45999908447266
2024-01-03,115.55999755859375
2024-01-04,116.4800033569336
2024-01-05,117.05000305175781
2024-01-08,118.94999694824219
2024-01-09,115.77999877929688
2024-01-10,118.66999816894531
2024-01-11,118.31999969482422
2024-01-12,118.08999633789062
2024-01-16,116.93000030517578
2024-01-17,115.69000244140625
2024-01-18,114.19000244140625
2024-01-19,116.43000030517578
2024-01-22,118.69999694824219
2024-01-23,117.52999877929688
2024-01-24,117.47000122070312
2024-01-25,120.66999816894531
2024-01-26,121.1500015258789
2024-01-29,122.61000061035156
2024-01-30,122.25
2024-01-31,121.4800033569336
2024-02-01,122.62000274658203
2024-02-02,126.13999938964844
2024-02-05,124.5
2024-02-06,126.98999786376953
2024-02-07,128.85000610351562
2024-02-08,135.5500030517578
2024-02-09,136.7100067138672
2024-02-12,137.05999755859375
2024-02-13,134.91000366210938
2024-02-14,136.7100067138672
2024-02-15,135.17999267578125
2024-02-16,134.97000122070312
2024-02-20,132.61000061035156
2024-02-21,131.6199951171875
2024-02-22,133.9499969482422
2024-02-23,131.89999389648438
2024-02-26,131.3000030517578
2024-02-27,130.55999755859375
2024-02-28,131.25
2024-02-29,132.6300048828125
2024-03-01,133.1199951171875
2024-03-04,135.8800048828125
2024-03-05,135.52000427246094
2024-03-06,135.72000122070312
2024-03-07,135.5500030517578
2024-03-08,134.10000610351562
2024-03-11,132.58999633789062
2024-03-12,134.0399932861328
2024-03-13,134.72000122070312
2024-03-14,132.77999877929688
2024-03-15,132.11000061035156
2024-03-18,130.1699981689453
2024-03-19,132.1699981689453
2024-03-20,133.5
2024-03-21,136.5800018310547
2024-03-22,133.8699951171875
2024-03-25,133.7899932861328
2024-03-26,133.9600067138672
2024-03-27,133.27999877929688
2024-03-28,132.97999572753906
2024-04-01,132.38999938964844
2024-04-02,130.8000030517578
2024-04-03,131.97999572753906
2024-04-04,132.1999969482422
2024-04-05,134.16000366210938
2024-04-08,135.16000366210938
2024-04-09,133.8000030517578
2024-04-10,134.0399932861328
2024-04-11,134.07000732421875
2024-04-12,131.35000610351562
2024-04-15,129.3000030517578
2024-04-16,130.88999938964844
2024-04-17,131.6999969482422
2024-04-18,130.6999969482422
2024-04-19,129.52999877929688
2024-04-22,132.00999450683594
2024-04-23,136.5
2024-04-24,135.9499969482422
2024-04-25,133.72999572753906
2024-04-26,133.6199951171875
2024-04-29,134.89999389648438
2024-04-30,133.08999633789062
2024-05-01,131.6999969482422
2024-05-02,134.63999938964844
2024-05-03,131.91000366210938
2024-05-06,136.1699981689453
2024-05-07,137.2899932861328
2024-05-08,138.6699981689453
2024-05-09,142.44000244140625
2024-05-10,142.27000427246094
2024-05-13,140.14999389648438
2024-05-14,144.92999267578125
2024-05-15,149.82000732421875
2024-05-16,146.66000366210938
2024-05-17,145.60000610351562
2024-05-20,144.55999755859375
2024-05-21,143.6199951171875
2024-05-22,144.75
2024-05-23,144.75
2024-05-24,146.00999450683594
2024-05-28,144.33999633789062
2024-05-29,142.1699981689453
2024-05-30,142.97999572753906
2024-05-31,140.1699981689453
2024-06-03,138.1999969482422
2024-06-04,135.19000244140625
2024-06-05,139.55999755859375
2024-06-06,134.0
2024-06-07,132.92999267578125
2024-06-10,136.83999633789062
2024-06-11,135.77999877929688
2024-06-12,137.49000549316406
2024-06-13,133.75999450683594
2024-06-14,132.6300048828125
2024-06-17,134.02999877929688
2024-06-18,135.0
2024-06-20,134.7100067138672
2024-06-21,131.7899932861328
2024-06-24,133.85000610351562
2024-06-25,135.35000610351562
2024-06-26,135.4499969482422
2024-06-27,135.9499969482422
2024-06-28,133.27999877929688
2024-07-01,136.1999969482422
2024-07-02,135.4499969482422
2024-07-03,138.35000610351562
2024-07-05,138.25999450683594
2024-07-08,135.77000427246094
2024-07-09,134.77999877929688
2024-07-10,138.74000549316406
2024-07-11,141.10000610351562
2024-07-12,142.5500030517578
2024-07-15,145.97999572753906
2024-07-16,148.0
2024-07-17,143.72000122070312
2024-07-18,147.38999938964844
2024-07-19,147.3000030517578
2024-07-22,150.7899932861328
2024-07-23,150.7899932861328
2024-07-24,144.50999450683594
2024-07-25,145.3000030517578
2024-07-26,147.10000610351562
2024-07-29,145.35000610351562
2024-07-30,149.5800018310547
2024-07-31,153.1999969482422
2024-08-01,149.16000366210938
2024-08-02,139.25999450683594
2024-08-05,133.72999572753906
2024-08-06,135.75
2024-08-07,135.27999877929688
2024-08-08,138.9600067138672
2024-08-09,141.5399932861328
2024-08-12,140.33999633789062
2024-08-13,141.5399932861328
2024-08-14,143.8300018310547
2024-08-15,145.60000610351562
2024-08-16,145.0
2024-08-19,144.5800018310547
2024-08-20,144.7100067138672
2024-08-21,144.5
2024-08-22,143.5
2024-08-23,147.0
2024-08-26,146.9600067138672
2024-08-27,146.13999938964844
2024-08-28,145.19000244140625
2024-08-29,144.35000610351562
2024-08-30,146.39999389648438
2024-09-03,142.02000427246094
2024-09-04,140.86000061035156
2024-09-05,141.0500030517578
2024-09-06,137.4499969482422
2024-09-09,140.0800018310547
2024-09-10,140.08999633789062
2024-09-11,141.4600067138672
2024-09-12,143.83999633789062
2024-09-13,147.39999389648438
2024-09-16,149.38999938964844
2024-09-17,152.8000030517578
2024-09-18,152.35000610351562
2024-09-19,156.50999450683594
2024-09-20,156.66000366210938
2024-09-23,156.25
2024-09-24,157.3300018310547
2024-09-25,158.0500030517578
2024-09-26,156.0500030517578
2024-09-27,156.91000366210938
