Date,JPY=X
2024-01-01,140.95199584960938
2024-01-02,141.12600708007812
2024-01-03,142.15499877929688
2024-01-04,142.99899291992188
2024-01-05,144.76499938964844
2024-01-08,144.71600341796875
2024-01-09,144.22999572753906
2024-01-10,144.42799377441406
2024-01-11,145.73399353027344
2024-01-12,145.04600524902344
2024-01-15,145.1490020751953
2024-01-16,145.79400634765625
2024-01-17,147.24600219726562
2024-01-18,148.1179962158203
2024-01-19,148.1280059814453
2024-01-22,148.12100219726562
2024-01-23,148.14199829101562
2024-01-24,148.25100708007812
2024-01-25,147.59100341796875
2024-01-26,147.72300720214844
2024-01-29,148.13999938964844
2024-01-30,147.46800231933594
2024-01-31,147.36900329589844
2024-02-01,146.99600219726562
2024-02-02,146.4510040283203
2024-02-05,148.50100708007812
2024-02-06,148.63999938964844
2024-02-07,147.8179931640625
2024-02-08,148.08599853515625
2024-02-09,149.25900268554688
2024-02-12,149.16700744628906
2024-02-13,149.40499877929688
2024-02-14,150.7239990234375
2024-02-15,150.54400634765625
2024-02-16,149.9459991455078
2024-02-19,150.09100341796875
2024-02-20,150.27000427246094
2024-02-21,149.93899536132812
2024-02-22,150.35499572753906
2024-02-23,150.48300170898438
2024-02-26,150.4980010986328
2024-02-27,150.5659942626953
2024-02-28,150.4949951171875
2024-02-29,150.656005859375
2024-03-01,150.09500122070312
2024-03-04,150.10499572753906
2024-03-05,150.46600341796875
2024-03-06,150.0489959716797
2024-03-07,149.2689971923828
2024-03-08,147.8679962158203
2024-03-11,146.7740020751953
2024-03-12,146.73199462890625
2024-03-13,147.61900329589844
2024-03-14,147.62100219726562
2024-03-15,148.29600524902344
2024-03-18,148.9550018310547
2024-03-19,149.1439971923828
2024-03-20,151.03500366210938
2024-03-21,150.75999450683594
2024-03-22,151.63299560546875
2024-03-25,151.30499267578125
2024-03-26,151.3730010986328
2024-03-27,151.52999877929688
2024-03-28,151.28700256347656
2024-03-29,151.44000244140625
2024-04-01,151.3979949951172
2024-04-02,151.58099365234375
2024-04-03,151.5399932861328
2024-04-04,151.58099365234375
2024-04-05,151.29200744628906
2024-04-08,151.69000244140625
2024-04-09,151.84300231933594
2024-04-10,151.77699279785156
2024-04-11,152.96400451660156
2024-04-12,153.19200134277344
2024-04-15,153.2830047607422
2024-04-16,154.20599365234375
2024-04-17,154.697998046875
2024-04-18,154.3419952392578
2024-04-19,154.61000061035156
2024-04-22,154.63999938964844
2024-04-23,154.81300354003906
2024-04-24,154.74400329589844
2024-04-25,155.25900268554688
2024-04-26,155.5970001220703
2024-04-29,158.2239990234375
2024-04-30,156.31399536132812
2024-05-01,157.7220001220703
2024-05-02,155.70399475097656
2024-05-03,153.0449981689453
2024-05-06,153.5659942626953
2024-05-07,154.23699951171875
2024-05-08,154.7480010986328
2024-05-09,155.41900634765625
2024-05-10,155.38900756835938
2024-05-13,155.8179931640625
2024-05-14,156.23300170898438
2024-05-15,156.4980010986328
2024-05-16,154.28199768066406
2024-05-17,155.37899780273438
