Date,^N225
2024-01-04,33288.2890625
2024-01-05,33377.421875
2024-01-09,33763.1796875
2024-01-10,34441.71875
2024-01-11,35049.859375
2024-01-12,35577.109375
2024-01-15,35901.7890625
2024-01-16,35619.1796875
2024-01-17,35477.75
2024-01-18,35466.171875
2024-01-19,35963.26953125
2024-01-22,36546.94921875
2024-01-23,36517.5703125
2024-01-24,36226.48046875
2024-01-25,36236.46875
2024-01-26,35751.0703125
2024-01-29,36026.94140625
2024-01-30,36065.859375
2024-01-31,36286.7109375
2024-02-01,36011.4609375
2024-02-02,36158.01953125
2024-02-05,36354.16015625
2024-02-06,36160.66015625
2024-02-07,36119.921875
2024-02-08,36863.28125
2024-02-09,36897.421875
2024-02-13,37963.96875
2024-02-14,37703.3203125
2024-02-15,38157.94140625
2024-02-16,38487.23828125
2024-02-19,38470.37890625
2024-02-20,38363.609375
2024-02-21,38262.16015625
2024-02-22,39098.6796875
2024-02-26,39233.7109375
2024-02-27,39239.51953125
2024-02-28,39208.03125
2024-02-29,39166.19140625
2024-03-01,39910.8203125
2024-03-04,40109.23046875
2024-03-05,40097.62890625
2024-03-06,40090.78125
2024-03-07,39598.7109375
2024-03-08,39688.94140625
2024-03-11,38820.48828125
2024-03-12,38797.51171875
2024-03-13,38695.96875
2024-03-14,38807.37890625
2024-03-15,38707.640625
2024-03-18,39740.44140625
2024-03-19,40003.6015625
2024-03-21,40815.66015625
2024-03-22,40888.4296875
2024-03-25,40414.12109375
2024-03-26,40398.03125
2024-03-27,40762.73046875
2024-03-28,40168.0703125
2024-03-29,40369.44140625
2024-04-01,39803.08984375
2024-04-02,39838.91015625
2024-04-03,39451.8515625
2024-04-04,39773.140625
2024-04-05,38992.078125
2024-04-08,39347.0390625
2024-04-09,39773.12890625
2024-04-10,39581.80859375
2024-04-11,39442.62890625
2024-04-12,39523.55078125
2024-04-15,39232.80078125
2024-04-16,38471.19921875
2024-04-17,37961.80078125
2024-04-18,38079.69921875
2024-04-19,37068.3515625
2024-04-22,37438.609375
2024-04-23,37552.16015625
2024-04-24,38460.078125
2024-04-25,37628.48046875
2024-04-26,37934.76171875
2024-04-30,38405.66015625
2024-05-01,38274.05078125
2024-05-02,38236.0703125
2024-05-07,38835.1015625
2024-05-08,38202.37109375
2024-05-09,38073.98046875
2024-05-10,38229.109375
2024-05-13,38179.4609375
2024-05-14,38356.05859375
2024-05-15,38385.73046875
2024-05-16,38920.26171875
2024-05-17,38787.37890625
2024-05-20,39069.6796875
2024-05-21,38946.9296875
2024-05-22,38617.1015625
2024-05-23,39103.21875
2024-05-24,38646.109375
2024-05-27,38900.01953125
2024-05-28,38855.37109375
2024-05-29,38556.87109375
2024-05-30,38054.12890625
2024-05-31,38487.8984375
2024-06-03,38923.03125
2024-06-04,38837.4609375
2024-06-05,38490.171875
2024-06-06,38703.51171875
2024-06-07,38683.9296875
2024-06-10,39038.16015625
2024-06-11,39134.7890625
2024-06-12,38876.7109375
2024-06-13,38720.46875
2024-06-14,38814.55859375
2024-06-17,38102.44140625
2024-06-18,38482.109375
2024-06-19,38570.76171875
2024-06-20,38633.01953125
2024-06-21,38596.46875
2024-06-24,38804.6484375
2024-06-25,39173.1484375
2024-06-26,39667.0703125
2024-06-27,39341.5390625
2024-06-28,39583.078125
2024-07-01,39631.05859375
2024-07-02,40074.69140625
2024-07-03,40580.76171875
2024-07-04,40913.6484375
2024-07-05,40912.37109375
2024-07-08,40780.69921875
2024-07-09,41580.171875
2024-07-10,41831.98828125
2024-07-11,42224.01953125
2024-07-12,41190.6796875
2024-07-16,41275.078125
2024-07-17,41097.69140625
2024-07-18,40126.3515625
2024-07-19,40063.7890625
2024-07-22,39599.0
2024-07-23,39594.390625
2024-07-24,39154.8515625
2024-07-25,37869.51171875
2024-07-26,37667.41015625
2024-07-29,38468.62890625
2024-07-30,38525.94921875
2024-07-31,39101.8203125
2024-08-01,38126.328125
2024-08-02,35909.69921875
2024-08-05,31458.419921875
2024-08-06,34675.4609375
2024-08-07,35089.62109375
2024-08-08,34831.1484375
2024-08-09,35025.0
2024-08-13,36232.51171875
2024-08-14,36442.4296875
2024-08-15,36726.640625
2024-08-16,38062.671875
2024-08-19,37388.62109375
2024-08-20,38062.921875
2024-08-21,37951.80078125
2024-08-22,38211.01171875
2024-08-23,38364.26953125
2024-08-26,38110.21875
2024-08-27,38288.62109375
2024-08-28,38371.76171875
2024-08-29,38362.53125
2024-08-30,38647.75
2024-09-02,38700.87109375
2024-09-03,38686.30859375
2024-09-04,37047.609375
2024-09-05,36657.08984375
2024-09-06,36391.46875
2024-09-09,36215.75
2024-09-10,36159.16015625
2024-09-11,35619.76953125
2024-09-12,36833.26953125
2024-09-13,36581.76171875
2024-09-17,36203.21875
2024-09-18,36380.171875
2024-09-19,37155.328125
2024-09-20,37723.91015625
2024-09-24,37940.58984375
2024-09-25,37870.26171875
2024-09-26,38925.62890625
2024-09-27,39829.55859375
