Date,BIZD
2025-02-03,17.5
2025-02-04,17.489999771118164
2025-02-05,17.350000381469727
2025-02-06,17.25
2025-02-07,17.25
2025-02-10,17.229999542236328
2025-02-11,17.25
2025-02-12,17.3799991607666
2025-02-13,17.459999084472656
2025-02-14,17.600000381469727
2025-02-18,17.760000228881836
2025-02-19,17.81999969482422
2025-02-20,17.719999313354492
2025-02-21,17.68000030517578
2025-02-24,17.579999923706055
2025-02-25,17.5
2025-02-26,17.299999237060547
2025-02-27,17.299999237060547
2025-02-28,17.549999237060547
2025-03-03,17.469999313354492
2025-03-04,17.1200008392334
2025-03-05,17.0
2025-03-06,16.729999542236328
2025-03-07,17.1200008392334
2025-03-10,16.920000076293945
2025-03-11,16.489999771118164
2025-03-12,16.469999313354492
2025-03-13,16.229999542236328
2025-03-14,16.489999771118164
2025-03-17,16.6200008392334
2025-03-18,16.739999771118164
2025-03-19,16.739999771118164
2025-03-20,16.780000686645508
2025-03-21,16.709999084472656
2025-03-24,16.959999084472656
2025-03-25,17.100000381469727
2025-03-26,16.989999771118164
2025-03-27,17.100000381469727
2025-03-28,16.860000610351562
2025-03-31,16.760000228881836
2025-04-01,16.510000228881836
2025-04-02,16.43000030517578
2025-04-03,16.079999923706055
2025-04-04,14.890000343322754
2025-04-07,14.220000267028809
2025-04-08,13.960000038146973
2025-04-09,14.979999542236328
2025-04-10,14.5
2025-04-11,14.470000267028809
2025-04-14,14.760000228881836
2025-04-15,14.9399995803833
2025-04-16,14.789999961853027
2025-04-17,15.0600004196167
2025-04-21,14.739999771118164
2025-04-22,15.010000228881836
2025-04-23,15.25
2025-04-24,15.4399995803833
2025-04-25,15.510000228881836
2025-04-28,15.600000381469727
2025-04-29,15.449999809265137
2025-04-30,15.229999542236328
2025-05-01,15.109999656677246
2025-05-02,15.369999885559082
2025-05-05,15.100000381469727
2025-05-06,15.210000038146973
2025-05-07,15.15999984741211
2025-05-08,15.319999694824219
2025-05-09,15.34000015258789
2025-05-12,15.789999961853027
2025-05-13,15.930000305175781
2025-05-14,15.920000076293945
2025-05-15,15.949999809265137
2025-05-16,16.06999969482422
2025-05-19,16.149999618530273
2025-05-20,16.149999618530273
2025-05-21,15.75
2025-05-22,15.75
2025-05-23,15.819999694824219
2025-05-27,16.100000381469727
2025-05-28,16.100000381469727
2025-05-29,16.1200008392334
2025-05-30,16.139999389648438
2025-06-02,16.0
2025-06-03,16.100000381469727
2025-06-04,16.040000915527344
2025-06-05,15.989999771118164
2025-06-06,16.170000076293945
2025-06-09,16.219999313354492
2025-06-10,16.280000686645508
2025-06-11,16.219999313354492
2025-06-12,16.25
2025-06-13,16.1200008392334
2025-06-16,16.049999237060547
2025-06-17,15.970000267028809
2025-06-18,16.1200008392334
2025-06-20,16.06999969482422
2025-06-23,15.90999984741211
2025-06-24,16.040000915527344
2025-06-25,16.040000915527344
2025-06-26,16.25
2025-06-27,16.200000762939453
2025-06-30,16.280000686645508
2025-07-01,15.920000076293945
2025-07-02,16.040000915527344
2025-07-03,16.219999313354492
2025-07-07,16.1299991607666
2025-07-08,16.149999618530273
